Timestamp,UTC,Latitude_GPS,Longitude_GPS,Latitude_Tel,Longitude_Tel,distance,Latitude_corrigée,Longitude_corrigée,time_diff,lat_diff,lon_diff,distance_diff,vitesse,acceleration,aberrant_vitesse,aberrant_acceleration,aberrant,limite_basse_vitesse,limite_haute_vitesse,limite_basse_acceleration,limite_haute_acceleration
1742916976.1592717,2025-03-25 15:36:16,49.38428833333333,1.0680661666666666,49.385195,1.06769667,104.3447082848745,49.38474166666667,1.0678814183333332,,,,,,,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916977.1491325,2025-03-25 15:36:17,49.3842895,1.0680623333333332,49.38516833,1.06770667,101.09478447599827,49.384728915,1.0678845016666667,1.0,1.1666666708265439e-06,-3.83333333342506e-06,0.3070866279045953,0.3070866279045953,,True,False,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916978.1341045,2025-03-25 15:36:18,49.3842915,1.0680585,49.38516833,1.06770667,100.80885774639557,49.384729915,1.067882585,1.0,2.0000000020559128e-06,-3.833333333203015e-06,0.35629102693194387,0.35629102693194387,0.04920439902734858,True,False,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916979.1762006,2025-03-25 15:36:19,49.38429333333333,1.068055,49.38515833,1.067745,98.80046300518148,49.38472583166667,1.0678999999999998,1.0,1.8333333287046116e-06,-3.5000000000451337e-06,0.3258129397310916,0.3258129397310916,-0.030478087200852266,True,False,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916980.162349,2025-03-25 15:36:20,49.38429466666667,1.0680526666666668,49.38505,1.067815,85.76008098707939,49.384672333333334,1.0679338333333335,1.0,1.3333333370724176e-06,-2.3333333332153927e-06,0.22514849545986573,0.22514849545986573,-0.10066444427122587,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916981.1453795,2025-03-25 15:36:21,49.384296166666665,1.0680505,49.38514167,1.06776167,96.34452903808314,49.384718918333334,1.0679060850000002,1.0,1.499999996212864e-06,-2.1666666667474743e-06,0.22930117626132124,0.22930117626132124,0.004152680801455505,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916982.1339777,2025-03-25 15:36:22,49.38429633333333,1.0680501666666666,49.38501833,1.06781,82.17001997074794,49.384657331666666,1.0679300833333332,1.0,1.6666666624587378e-07,-3.33333333379926e-07,0.030485185945129292,0.030485185945129292,-0.19881599031619196,False,True,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916983.120472,2025-03-25 15:36:23,49.3842975,1.0680488333333331,49.38512667,1.06775833,94.59937880164115,49.384712085000004,1.0679035816666667,1.0,1.1666666708265439e-06,-1.333333333519704e-06,0.16188895706897657,0.16188895706897657,0.13140377112384727,False,True,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916984.1629555,2025-03-25 15:36:24,49.384297333333336,1.0680486666666666,49.38499333,1.06780833,79.34932339430617,49.38464533166667,1.0679284983333335,1.0,-1.6666666624587378e-07,-1.666666664679184e-07,0.02213661167921883,0.02213661167921883,-0.13975234538975775,False,True,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916985.1486888,2025-03-25 15:36:25,49.384294,1.0680475,49.38499,1.06778167,79.77717909057478,49.384642,1.067914585,1.0,-3.3333333391283304e-06,-1.1666666666076964e-06,0.38027850217671794,0.38027850217671794,0.3581418904974991,True,True,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916986.131544,2025-03-25 15:36:26,49.38429266666667,1.0680458333333334,49.38499,1.06778167,79.8919333557025,49.384641333333335,1.0679137516666666,1.0,-1.3333333299669903e-06,-1.6666666666775853e-06,0.19139931773933383,0.19139931773933383,-0.1888791844373841,False,True,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916987.1162374,2025-03-25 15:36:27,49.3842915,1.0680443333333334,49.385,1.06778833,80.96001050171745,49.384645750000004,1.0679163316666667,1.0,-1.1666666637211165e-06,-1.4999999999876223e-06,0.1694033626895788,0.1694033626895788,-0.021995955049755017,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916988.1605878,2025-03-25 15:36:28,49.384292,1.0680421666666666,49.384995,1.06779667,80.19177275204136,49.3846435,1.0679194183333331,1.0,4.999999987376214e-07,-2.1666666667474743e-06,0.16685476404324603,0.16685476404324603,-0.002548598646332778,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916989.1520095,2025-03-25 15:36:29,49.38429216666667,1.06804,49.38499,1.06781167,79.36192920210446,49.384641083333335,1.067925835,1.0,1.6666666624587378e-07,-2.1666666665254297e-06,0.15840387463695657,0.15840387463695657,-0.008450889406289464,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916990.145921,2025-03-25 15:36:30,49.38429333333333,1.0680386666666666,49.38498,1.06782,78.00200534977584,49.384636666666665,1.0679293333333333,1.0,1.1666666637211165e-06,-1.333333333519704e-06,0.16188896080560192,0.16188896080560192,0.003485086168645346,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916991.1334808,2025-03-25 15:36:31,49.38429433333333,1.0680378333333334,49.38497667,1.06781667,77.5679022923192,49.384635501666665,1.0679272516666667,1.0,9.999999974752427e-07,-8.333333332277704e-07,0.1266105674517769,0.1266105674517769,-0.035278393353825016,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916992.123598,2025-03-25 15:36:32,49.38429566666667,1.0680371666666666,49.38497667,1.06782333,77.31424994884279,49.38463616833333,1.0679302483333333,1.0,1.3333333370724176e-06,-6.66666666759852e-07,0.1559898098804334,0.1559898098804334,0.0293792424286565,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916993.1662192,2025-03-25 15:36:33,49.384296166666665,1.0680366666666667,49.38496833,1.06783167,76.22344605538815,49.38463224833333,1.0679341683333332,1.0,4.999999987376214e-07,-4.999999998478444e-07,0.066409835655354,0.066409835655354,-0.0895799742250794,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916994.151284,2025-03-25 15:36:34,49.38429983333333,1.068037,49.38496333,1.06783333,75.25936802483324,49.38463158166667,1.067935165,1.0,3.6666666645146506e-06,3.333333331578814e-07,0.40851387952354046,0.40851387952354046,0.3421040438681865,True,True,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916995.138317,2025-03-25 15:36:35,49.384303333333335,1.068037,49.38496,1.06783833,74.44351694150171,49.384631666666664,1.067937665,1.0,3.500000005374204e-06,0.0,0.3892601187786572,0.3892601187786572,-0.019253760744883275,True,False,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916996.1211305,2025-03-25 15:36:36,49.384306333333335,1.068037,49.38495167,1.06784833,73.06811950854872,49.38462900166667,1.067942665,1.0,2.9999999995311555e-06,0.0,0.333651530947407,0.333651530947407,-0.05560858783125017,True,False,True,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916997.1673377,2025-03-25 15:36:37,49.384308833333336,1.068037,49.38494333,1.06785833,71.74943403206004,49.38462608166667,1.067947665,1.0,2.500000000793534e-06,0.0,0.27804294238368465,0.27804294238368465,-0.05560858856372236,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916998.1540306,2025-03-25 15:36:38,49.384311333333336,1.068037,49.38493667,1.06785833,70.7477144950133,49.384624001666666,1.067947665,1.0,2.500000000793534e-06,0.0,0.27804294313203515,0.27804294313203515,7.483504926852902e-10,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742916999.1395297,2025-03-25 15:36:39,49.38431383333333,1.068037,49.384935,1.06785833,70.29185361294688,49.38462441666667,1.067947665,1.0,2.4999999936881068e-06,0.0,0.2780429421096116,0.2780429421096116,-1.0224235347244814e-09,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
1742917000.125957,2025-03-25 15:36:40,49.384316,1.0680368333333332,49.38493333,1.06786667,69.76049229075514,49.384624665000004,1.0679517516666666,1.0,2.1666666683017866e-06,-1.66666666689963e-07,0.24127421209087874,0.24127421209087874,-0.036768730018732876,False,False,False,-0.055018936386804884,0.2920336931424454,-0.13963235237198945,0.129798314850888
