Timestamp,UTC,Latitude,Longitude,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magneto X,Magneto Y,Magneto Z,x,y,z,w_x,w_y,w_z,Accel_corr_X,Accel_corr_Y,Accel_corr_Z,x_kf,y_kf,z_kf,vx_kf,vy_kf,vz_kf
1746544978.1919763,2025/05/06 - 15:22:57,49.38494383333333,1.0679346666666667,1.0126,-0.011712,0.081496,-0.8400000000000001,-0.07,1.1900000000000002,-0.5482174167153712,0.0438340151957919,-0.1893629456458211,4146633.1456271433,77297.94782344783,4836227.8257799875,1.9608707277974526,1.42536391057309,3.0923992998154883,-0.20581539534249296,0.8939309498910912,0.43665204548567527,4146632.943847344,77298.82422633989,4836228.253870228,-0.16344163747830873,0.7098863425604662,0.3467530949010042
1746544978.467533,2025/05/06 - 15:22:58,49.38494433333333,1.0679346666666667,1.011136,-0.010248,0.081008,-1.1900000000000002,-2.8000000000000003,0.77,-0.5447106954997077,0.0350672121566335,-0.1870251315020455,4146633.103430425,77297.94703685312,4836227.8619724745,0.7708707277974525,-1.3746360894269103,3.8623992998154884,-0.46107610104168684,0.6626355389144205,0.614317751395637,4146632.5890141525,77299.38403582135,4836228.738289514,-0.45496210052817515,0.8988757509642908,0.6722298772183554
1746544979.4427872,2025/05/06 - 15:22:59,49.3849445,1.0679346666666667,1.009184,-0.01464,0.082472,0.77,0.49,1.7500000000000002,-0.548801870251315,0.0344827586206896,-0.1905318527177089,4146633.0893648514,77297.94677465486,4836227.874036637,1.5408707277974525,-0.8846360894269103,5.612399299815489,0.938583901339002,0.3454968987365281,0.15862048843292598,4146633.0883751432,77299.49515145028,4836228.883379932,0.4839003051157273,0.8086587389437755,0.546820719001819
1746544980.4708676,2025/05/06 - 15:23:00,49.384945,1.0679346666666667,1.06384,-0.169824,0.133712,-40.46,26.880000000000003,5.11,-0.5236703682057277,0.0420806545879602,-0.1455289304500292,4146633.047168132,77297.94598806012,4836227.910229124,-38.91912927220255,25.995363910573094,10.72239929981549,0.6373232137299488,-0.4392873636235774,-0.7611309801352042,4146633.9067089166,77299.04285810208,4836228.3148910105,0.9250510980146368,0.1190334561427499,-0.30666597399168555
1746544981.497425,2025/05/06 - 15:23:01,49.38494516666667,1.0679346666666667,0.865224,-0.062464,0.020984,-63.7,0.98,1.8200000000000005,-0.4178842781998831,-0.1472822910578609,-0.2232612507305669,4146633.0331025594,77297.94572586188,4836227.922293286,-102.61912927220254,26.975363910573094,12.54239929981549,0.8648210238547139,-0.06618016309230754,0.025679416659251525,4146634.8733097953,77298.51135610463,4836227.838901458,1.4100468217730286,-0.06389479517258322,-0.2637741883718173
1746544981.827011,2025/05/06 - 15:23:01,49.38494516666667,1.0679346666666667,1.106784,-0.07564,0.063928,-22.47,37.8,5.74,-0.4786674459380479,-0.0526008182349503,-0.2337814143775569,4146633.0331025594,77297.94572586188,4836227.922293286,-125.08912927220254,64.77536391057309,18.282399299815488,0.7298641039975037,-0.6293454593473612,-0.5531742075827297,4146635.715703745,77297.70978327891,4836227.250744645,1.5979257538075484,-0.6455710809965532,-0.6812706039404525
1746544982.4783187,2025/05/06 - 15:23:02,49.384953333333335,1.067952,1.02724,0.012688,0.06588,-24.500000000000004,-12.740000000000002,4.760000000000001,-0.5073056691992986,0.0263004091174751,-0.1443600233781414,4146632.320504784,77299.18733285618,4836228.51343718,-149.58912927220254,52.03536391057309,23.04239929981549,0.7408005639561842,-0.6593686944676551,-0.27599026530336135,4146635.920332631,77297.43106267595,4836227.092986814,1.6054538161111995,-0.9471936044369395,-0.6679200347845591
1746544983.497306,2025/05/06 - 15:23:03,49.38496,1.0679668333333334,1.028704,-0.0356239999999999,0.0366,22.540000000000003,-12.250000000000002,10.99,-0.4833430742255991,0.0520163646990064,-0.1069549970777323,4146631.737869602,77300.25036834452,4836228.9960035505,-127.04912927220253,39.78536391057309,34.03239929981549,0.9961714134699723,0.09900786481734125,-0.24224059668343914,4146635.8814598974,77298.12198937954,4836227.316577423,1.748297093173388,-0.40986883895851267,-0.5643007694880401
1746544984.4847326,2025/05/06 - 15:23:04,49.384964833333335,1.0679805,1.158024,0.136152,-0.03904,16.1,-16.8,-14.000000000000002,-0.5236703682057277,0.0280537697253068,-0.1186440677966101,4146631.311529464,77301.23185341306,4836229.345864128,-110.94912927220253,22.98536391057309,20.032399299815488,1.047343791580783,-0.506769657834268,0.0856537764242056,4146635.7936590444,77299.05078912587,4836227.936977951,1.86692448815514,-0.4647126590136497,-0.18671975837251537
1746544985.4765933,2025/05/06 - 15:23:05,49.38497016666667,1.0679908333333332,0.8842559999999999,-0.0273279999999999,-0.098088,-2.31,-12.46,-11.97,-0.4792518994739918,-0.054354178842782,-0.1274108708357685,4146630.8474895833,77301.97131043949,4836229.731917141,-113.25912927220253,10.525363910573088,8.062399299815487,0.8889463727878821,-0.021430336908128747,-0.03989781737478489,4146635.4986247793,77300.16812002881,4836228.696930182,1.7901954689976791,-0.1117620043744898,-0.011732091926461852
1746544986.5173175,2025/05/06 - 15:23:06,49.384975,1.068001166666667,0.7442,0.0356239999999999,-0.0502639999999999,-23.24,19.250000000000004,-17.080000000000002,-0.5365283459964932,-0.0420806545879602,-0.1320864991233196,4146630.4256462725,77302.71155394448,4836230.081777646,-136.49912927220254,29.77536391057309,-9.017600700184515,0.6957970571299791,-0.09404077991019691,0.2542675088860989,4146634.9281897084,77301.36130185853,4836229.604962383,1.5510404923013372,0.07457672829351439,0.34154598872850644
