Timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magneto X,Magneto Y,Magneto Z
1746544025.3118641,0.803248,-0.039528,-0.033672,18.270000000000003,25.130000000000003,14.700000000000001,-0.47691408533021623,-0.21390999415546463,0.24196376388077148
1746544025.3919506,0.534848,-0.049776,-0.064904,35.63,15.47,22.26,-0.47691408533021623,-0.21390999415546463,0.24196376388077148
1746544025.4720502,0.627568,-0.044407999999999996,-0.146888,25.410000000000004,-14.770000000000001,14.350000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544025.5521326,0.91988,-0.013663999999999999,-0.138104,6.090000000000001,-18.340000000000003,2.1,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544025.6322236,1.4088559999999999,-0.048312,-0.22447999999999999,-16.59,-4.62,-6.930000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544025.719689,1.448872,-0.07808,-0.063928,-8.96,12.670000000000002,5.670000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544025.7924137,1.006256,-0.207888,-0.068808,0.07,-32.27,-10.430000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544025.8725033,0.528016,-0.099552,-0.010248,-23.450000000000003,-0.56,-20.650000000000002,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544025.9542174,0.53192,-0.07564,-0.11712,-39.480000000000004,-7.07,-23.1,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.0327244,0.8374079999999999,-0.105896,-0.243512,-32.410000000000004,-6.300000000000001,-12.88,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.1128047,1.231712,-0.029768,-0.260104,-8.75,-4.760000000000001,5.040000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.1929047,1.506456,0.07417599999999999,-0.140544,3.22,16.73,3.5000000000000004,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.2729805,1.342,0.141032,0.144936,-3.0100000000000002,19.950000000000003,9.030000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.3569932,1.050664,0.036112,-0.084424,-1.7500000000000002,1.12,8.96,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.433149,0.620248,-0.023424,-0.078568,32.2,20.790000000000003,15.750000000000002,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.513294,0.532896,-0.038064,-0.14884,37.940000000000005,-2.45,17.71,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.600687,0.727608,-0.021471999999999998,-0.174704,20.930000000000003,-13.440000000000001,0.6300000000000001,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.673422,1.201456,-0.006344,-0.18348799999999998,-3.8500000000000005,-13.3,-11.48,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.7535152,1.429352,-0.07124799999999999,-0.326472,-19.67,0.35000000000000003,-7.5600000000000005,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.8335962,1.36152,-0.105896,0.056608,3.8500000000000005,3.5700000000000003,20.51,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.9136798,0.740296,-0.108336,-0.008784,-16.240000000000002,-3.5000000000000004,-12.740000000000002,-0.46990064289888955,-0.12741087083576855,0.255406195207481
1746544026.9937727,0.459696,-0.030255999999999998,-0.10248,-32.970000000000006,9.31,-19.040000000000003,-0.4488603156049094,-0.18234950321449445,0.2787843366452367
