Timestamp,UTC,Latitude,Longitude
1747152113.2066188,2025/05/13 - 16:01:52,49.385395,1.068315
1747152114.1987667,2025/05/13 - 16:01:54,49.38539516666667,1.068313
1747152115.187651,2025/05/13 - 16:01:55,49.38539516666667,1.0683116666666665
1747152116.1863449,2025/05/13 - 16:01:56,49.38539516666667,1.0683071666666666
1747152117.235601,2025/05/13 - 16:01:57,49.38539516666667,1.0683026666666666
1747152118.2357228,2025/05/13 - 16:01:58,49.38539133333333,1.0683031666666667
1747152119.2311044,2025/05/13 - 16:01:59,49.385351166666666,1.0682836666666666
1747152120.2312355,2025/05/13 - 16:02:00,49.38534533333333,1.068262
1747152121.2245102,2025/05/13 - 16:02:01,49.38534033333333,1.0682436666666666
1747152122.2223134,2025/05/13 - 16:02:02,49.385341,1.0682376666666666
1747152123.2127748,2025/05/13 - 16:02:03,49.38534216666667,1.0682321666666668
1747152124.2148402,2025/05/13 - 16:02:04,49.385342666666666,1.0682291666666666
1747152125.216017,2025/05/13 - 16:02:05,49.38534333333333,1.0682235
1747152126.207957,2025/05/13 - 16:02:06,49.38534466666667,1.0682198333333333
1747152127.2086246,2025/05/13 - 16:02:07,49.38534633333333,1.0682145
1747152128.2033763,2025/05/13 - 16:02:08,49.3853475,1.0682093333333333
1747152129.2608004,2025/05/13 - 16:02:09,49.38534883333333,1.0682038333333332
1747152130.2616415,2025/05/13 - 16:02:10,49.38535016666667,1.0681995
1747152131.2526348,2025/05/13 - 16:02:11,49.385351166666666,1.0681961666666666
1747152132.2542233,2025/05/13 - 16:02:12,49.385353,1.0681921666666667
1747152133.2551763,2025/05/13 - 16:02:13,49.38535433333333,1.0681891666666667
1747152134.2484787,2025/05/13 - 16:02:14,49.385356,1.0681861666666665
1747152135.2477205,2025/05/13 - 16:02:15,49.38535733333333,1.0681841666666667
1747152136.2458866,2025/05/13 - 16:02:16,49.385358333333336,1.0681811666666667
1747152137.2431288,2025/05/13 - 16:02:17,49.3853595,1.068178
1747152138.2435312,2025/05/13 - 16:02:18,49.38536083333333,1.0681743333333333
1747152139.2396803,2025/05/13 - 16:02:19,49.385362,1.0681705
1747152140.2364945,2025/05/13 - 16:02:20,49.385363166666664,1.068167
1747152141.2359927,2025/05/13 - 16:02:21,49.385364333333335,1.0681631666666667
1747152142.2323203,2025/05/13 - 16:02:22,49.385365166666666,1.0681593333333332
1747152143.2212582,2025/05/13 - 16:02:23,49.385366166666664,1.0681563333333333
1747152144.2191255,2025/05/13 - 16:02:24,49.38536666666667,1.068154
1747152145.2127922,2025/05/13 - 16:02:25,49.38536716666667,1.068152
1747152146.2128408,2025/05/13 - 16:02:26,49.3853675,1.0681503333333333
1747152147.212929,2025/05/13 - 16:02:27,49.385368,1.068149
1747152148.2626853,2025/05/13 - 16:02:28,49.385368666666665,1.0681473333333333
1747152149.2607756,2025/05/13 - 16:02:29,49.38536933333333,1.0681451666666666
1747152150.2503338,2025/05/13 - 16:02:30,49.38537016666667,1.068143
1747152151.2464812,2025/05/13 - 16:02:31,49.385371,1.0681415
1747152152.243302,2025/05/13 - 16:02:32,49.3853715,1.06814
1747152153.2321026,2025/05/13 - 16:02:33,49.38537216666666,1.0681391666666666
1747152154.230293,2025/05/13 - 16:02:34,49.385372833333335,1.0681381666666667
1747152155.2293115,2025/05/13 - 16:02:35,49.38537316666667,1.0681376666666667
1747152156.2196484,2025/05/13 - 16:02:36,49.385373333333334,1.0681383333333334
1747152157.2200758,2025/05/13 - 16:02:37,49.385373333333334,1.0681384999999999
1747152158.215315,2025/05/13 - 16:02:38,49.3853735,1.0681386666666666
1747152159.2711391,2025/05/13 - 16:02:39,49.385374,1.0681363333333334
1747152160.207638,2025/05/13 - 16:02:40,49.38537383333333,1.0681386666666666
1747152161.2636395,2025/05/13 - 16:02:41,49.385373333333334,1.0681406666666666
1747152162.263202,2025/05/13 - 16:02:42,49.385373333333334,1.0681421666666666
1747152163.2545772,2025/05/13 - 16:02:43,49.38537316666667,1.0681438333333333
1747152164.254834,2025/05/13 - 16:02:44,49.385372833333335,1.0681458333333333
1747152165.2473605,2025/05/13 - 16:02:45,49.38537316666667,1.0681473333333333
1747152166.2435923,2025/05/13 - 16:02:46,49.385372833333335,1.0681488333333333
1747152167.2408752,2025/05/13 - 16:02:47,49.38537316666667,1.0681501666666666
1747152168.232232,2025/05/13 - 16:02:48,49.38537316666667,1.068151
1747152169.2326846,2025/05/13 - 16:02:49,49.385373333333334,1.0681516666666666
1747152170.2328563,2025/05/13 - 16:02:50,49.385373333333334,1.0681523333333334
1747152171.223035,2025/05/13 - 16:02:51,49.385373333333334,1.0681531666666666
1747152172.2174172,2025/05/13 - 16:02:52,49.385373333333334,1.0681538333333334
1747152173.218023,2025/05/13 - 16:02:53,49.3853735,1.0681541666666667
1747152174.2643952,2025/05/13 - 16:02:54,49.38537383333333,1.0681541666666667
1747152175.2642345,2025/05/13 - 16:02:55,49.385374,1.0681541666666667
1747152176.2639108,2025/05/13 - 16:02:56,49.385374166666665,1.0681541666666667
1747152177.2557395,2025/05/13 - 16:02:57,49.3853745,1.0681535
1747152178.2565656,2025/05/13 - 16:02:58,49.38537516666667,1.0681528333333332
1747152179.2417908,2025/05/13 - 16:02:59,49.38537566666667,1.068152
1747152180.2354345,2025/05/13 - 16:03:00,49.385375833333335,1.0681511666666668
1747152181.2385063,2025/05/13 - 16:03:01,49.38537683333333,1.0681473333333333
1747152182.2369194,2025/05/13 - 16:03:02,49.3853775,1.0681438333333333
