Timestamp,UTC,Latitude_GPS,Longitude_GPS,Latitude_Tel,Longitude_Tel,distance,Latitude_corrigée,Longitude_corrigée,time_diff,lat_diff,lon_diff,distance_diff,vitesse,acceleration,z_vitesse,z_acceleration,aberrant_vitesse,aberrant_acceleration,aberrant
1741709924.6988964,2025-03-11 16:18:44+00:00,49.38432083333333,1.0688651666666666,49.38421167,1.06939333,40.224443561592125,49.38426625166666,1.0691292483333332,,,,,,,,,False,False,False
1741709925.7970972,2025-03-11 16:18:45+00:00,49.3843245,1.0688645,49.38421167,1.06939333,40.39540656692019,49.384268085,1.069128915,1.0,3.666666671620078e-06,-6.666666665378074e-07,0.4106590535715268,0.4106590535715268,,1.1864834609257877,,False,False,False
1741709926.8953092,2025-03-11 16:18:46+00:00,49.3843285,1.0688651666666666,49.38421167,1.06939333,40.48995929851103,49.384270085,1.0691292483333332,1.0,4.0000000041118255e-06,6.666666665378074e-07,0.4474943461496814,0.4474943461496814,0.0368352925781546,1.1159566553295006,0.10081109497406031,False,False,False
1741709927.9901085,2025-03-11 16:18:47+00:00,49.384333,1.0688676666666663,49.38423167,1.06925333,30.184653936673318,49.384282334999995,1.0690604983333332,1.0,4.4999999957440195e-06,2.499999999683311e-06,0.5323779273723185,0.5323779273723185,0.08488358122263706,0.9534340469233454,0.239432769421581,False,False,False
1741709929.0883403,2025-03-11 16:18:48+00:00,49.38433833333333,1.0688703333333334,49.38423667,1.06924667,29.57167264614002,49.38428750166666,1.0690585016666667,1.0,5.333333334078816e-06,2.666666667039408e-06,0.6239591915941707,0.6239591915941707,0.0915812642218522,0.7780876992777375,0.2587559140842268,False,False,False
1741709930.186549,2025-03-11 16:18:49+00:00,49.384341166666665,1.0688705,49.38424,1.06925167,29.87539509651915,49.38429058333333,1.069061085,1.0,2.8333333332852817e-06,1.66666666689963e-07,0.3153476084083589,0.3153476084083589,-0.3086115831858118,1.3689718109195235,0.8958201212880955,False,False,False
1741709931.2808444,2025-03-11 16:18:51+00:00,49.3843425,1.0688698333333333,49.38424167,1.06923667,28.8994242515786,49.384292085,1.0690532516666666,2.0,1.3333333370724176e-06,-6.66666666759852e-07,0.15598979632340307,0.07799489816170153,-0.11867635512332869,1.8234199035415835,0.34784765247849947,False,False,False
1741709932.379182,2025-03-11 16:18:52+00:00,49.38434566666667,1.0688675,49.38424167,1.06923667,29.193374711897548,49.384293668333335,1.069052085,1.0,3.1666666657770293e-06,-2.3333333332153927e-06,0.39081733210275205,0.39081733210275205,0.3128224339410505,1.2244734736223033,0.8970475633483093,False,False,False
1741709933.4775436,2025-03-11 16:18:53+00:00,49.38435033333333,1.068863,49.38425167,1.06920333,27.037234002374902,49.384301001666664,1.069033165,1.0,4.666666661989893e-06,-4.500000000184912e-06,0.6132934237870248,0.6132934237870248,0.22247609168427274,0.7985089442311664,0.636393925161312,False,False,False
1741709934.5757835,2025-03-11 16:18:54+00:00,49.384353833333336,1.0688576666666667,49.38425667,1.06922,28.440913636902764,49.38430525166667,1.0690388333333334,1.0,3.500000005374204e-06,-5.333333333190637e-06,0.5490688930960737,0.5490688930960737,-0.06422453069095113,0.921476638350685,0.19075146253115197,False,False,False
1741709935.6741092,2025-03-11 16:18:55+00:00,49.384352666666665,1.0688516666666668,49.38426167,1.069245,30.298988292065278,49.384307168333336,1.0690483333333334,1.0,-1.1666666708265439e-06,-5.999999999950489e-06,0.45455522915958896,0.45455522915958896,-0.0945136639364847,1.1024375140787208,0.27813710074039305,False,False,False
1741709936.7722225,2025-03-11 16:18:56+00:00,49.3843485,1.0688458333333333,49.38426167,1.06922833,29.4030885273697,49.384305085,1.0690370816666666,1.0,-4.166666663252272e-06,-5.833333333482571e-06,0.6277989333908282,0.6277989333908282,0.1732437042312392,0.7707359259028356,0.4943560674493429,False,False,False
1741709937.8682928,2025-03-11 16:18:57+00:00,49.3843455,1.06884,49.38425667,1.06922333,29.53390788490857,49.384301085000004,1.069031665,1.0,-2.9999999995311555e-06,-5.833333333260526e-06,0.5391760036596258,0.5391760036596258,-0.08862292973120234,0.940418089367792,0.2611420430120405,False,False,False
1741709938.9665594,2025-03-11 16:18:58+00:00,49.38434266666667,1.0688413333333333,49.384255,1.06925,31.232979653949325,49.38429883333333,1.0690456666666668,1.0,-2.8333333332852817e-06,1.3333333332976594e-06,0.3296509580371875,0.3296509580371875,-0.2095250456224383,1.3415858588055884,0.6099505900364494,False,False,False
1741709940.0648336,2025-03-11 16:18:59+00:00,49.3843385,1.0688433333333334,49.384255,1.06924333,30.491247911957103,49.384296750000004,1.0690433316666668,1.0,-4.166666670357699e-06,2.0000000000575113e-06,0.4856246358314458,0.4856246358314458,0.15597367779425825,1.042950379568011,0.4445311923084016,False,False,False
1741709941.1630895,2025-03-11 16:19:00+00:00,49.38432983333333,1.0688473333333333,49.384255,1.06924167,29.816796003617,49.38429241666667,1.0690445016666668,1.0,-8.666666666101719e-06,3.999999999892978e-06,1.0066864698269549,1.0066864698269549,0.5210618339955091,0.04529774542984081,1.497828468056161,False,False,False
1741709942.2609174,2025-03-11 16:19:02+00:00,49.38429566666667,1.068857,49.38425,1.06926167,29.81770208456285,49.384272833333334,1.069059335,2.0,-3.4166666665669254e-05,9.666666666685586e-06,3.86419644366645,1.932098221833225,0.46270587600313506,1.7265446959404316,1.3294686608891062,False,False,False
