Timestamp,UTC,Latitude,Longitude
1748435838.7477868,2025/05/28 - 12:37:18,49.38557016666667,1.0684765
1748435839.505915,2025/05/28 - 12:37:19,49.38556966666667,1.068475
1748435840.69103,2025/05/28 - 12:37:20,49.385573666666666,1.0684748333333334
1748435841.7158678,2025/05/28 - 12:37:21,49.38557316666667,1.0684741666666666
1748435843.0629606,2025/05/28 - 12:37:22,49.38557266666667,1.0684728333333333
1748435843.9182806,2025/05/28 - 12:37:23,49.385575,1.0684736666666665
1748435844.6165276,2025/05/28 - 12:37:24,49.38558,1.0684756666666666
1748435845.6084208,2025/05/28 - 12:37:25,49.3855905,1.0684763333333334
1748435846.5956357,2025/05/28 - 12:37:26,49.385597833333335,1.068481
1748435847.5320508,2025/05/28 - 12:37:27,49.385603833333334,1.0684911666666665
1748435848.5812252,2025/05/28 - 12:37:28,49.385606833333334,1.0685033333333334
1748435849.581041,2025/05/28 - 12:37:29,49.3856075,1.0685183333333332
1748435850.6357355,2025/05/28 - 12:37:30,49.38560866666666,1.0685353333333334
1748435851.5675032,2025/05/28 - 12:37:31,49.38561333333333,1.0685501666666666
1748435852.5682797,2025/05/28 - 12:37:32,49.385621,1.0685683333333333
1748435853.558437,2025/05/28 - 12:37:33,49.385628833333335,1.0685875
1748435854.5002959,2025/05/28 - 12:37:34,49.38563516666667,1.068609
1748435855.5510762,2025/05/28 - 12:37:35,49.385638,1.0686291666666667
1748435856.4934068,2025/05/28 - 12:37:36,49.38563966666667,1.0686483333333334
1748435857.4892054,2025/05/28 - 12:37:37,49.385644,1.0686628333333332
1748435858.540595,2025/05/28 - 12:37:38,49.3856495,1.0686778333333333
1748435859.5384676,2025/05/28 - 12:37:39,49.38565416666667,1.068695
1748435860.5963078,2025/05/28 - 12:37:40,49.38565766666667,1.0687113333333333
1748435861.4723942,2025/05/28 - 12:37:41,49.385661999999996,1.0687286666666667
1748435862.467408,2025/05/28 - 12:37:42,49.3856685,1.0687433333333334
1748435863.461897,2025/05/28 - 12:37:43,49.385674,1.0687591666666667
1748435864.5145056,2025/05/28 - 12:37:44,49.385679833333334,1.0687758333333333
1748435865.5124972,2025/05/28 - 12:37:45,49.385682833333334,1.068792
1748435866.4555776,2025/05/28 - 12:37:46,49.385686666666665,1.068806
1748435867.5027444,2025/05/28 - 12:37:47,49.3856885,1.0688203333333333
1748435868.5015807,2025/05/28 - 12:37:48,49.385690833333335,1.0688331666666666
1748435869.4953392,2025/05/28 - 12:37:49,49.385695,1.0688465
1748435870.4373636,2025/05/28 - 12:37:50,49.38570083333333,1.0688578333333334
1748435871.4851036,2025/05/28 - 12:37:51,49.385709,1.0688671666666667
1748435872.4267507,2025/05/28 - 12:37:52,49.38571533333333,1.0688739999999999
1748435873.425951,2025/05/28 - 12:37:53,49.385721833333335,1.0688778333333333
1748435874.5296912,2025/05/28 - 12:37:54,49.385729166666664,1.0688838333333333
1748435875.5272236,2025/05/28 - 12:37:55,49.385736,1.0688893333333334
1748435876.5232275,2025/05/28 - 12:37:56,49.385742,1.0688893333333334
1748435877.5213125,2025/05/28 - 12:37:57,49.385747,1.0688876666666667
1748435878.3996437,2025/05/28 - 12:37:58,49.38575083333333,1.0688868333333332
1748435879.3980753,2025/05/28 - 12:37:59,49.38575516666667,1.0688831666666667
1748435880.4461875,2025/05/28 - 12:38:00,49.38576116666667,1.0688741666666666
1748435881.445583,2025/05/28 - 12:38:01,49.38576583333333,1.068863
1748435882.437757,2025/05/28 - 12:38:02,49.38576883333333,1.0688508333333333
1748435883.428733,2025/05/28 - 12:38:03,49.385772,1.0688393333333333
1748435884.42777,2025/05/28 - 12:38:04,49.385776166666666,1.0688265
1748435885.4823043,2025/05/28 - 12:38:05,49.38578016666666,1.0688145
1748435886.4798193,2025/05/28 - 12:38:06,49.38578616666667,1.0688011666666666
1748435887.5289905,2025/05/28 - 12:38:07,49.38579283333333,1.0687848333333334
1748435888.4629083,2025/05/28 - 12:38:08,49.38579933333333,1.0687683333333333
1748435889.4628103,2025/05/28 - 12:38:09,49.38580416666667,1.0687553333333333
1748435890.520453,2025/05/28 - 12:38:10,49.385808,1.0687443333333333
1748435891.5745318,2025/05/28 - 12:38:11,49.38581033333333,1.0687323333333334
1748435892.5659554,2025/05/28 - 12:38:12,49.385813666666664,1.0687195
1748435893.508284,2025/05/28 - 12:38:13,49.385818,1.0687065
1748435894.5060241,2025/05/28 - 12:38:14,49.385822166666664,1.0686935
1748435895.4395719,2025/05/28 - 12:38:15,49.385826333333334,1.0686791666666666
1748435896.4309394,2025/05/28 - 12:38:16,49.385828833333335,1.0686651666666667
1748435897.4822376,2025/05/28 - 12:38:17,49.385829,1.0686531666666665
1748435898.480516,2025/05/28 - 12:38:18,49.38582983333333,1.0686411666666666
1748435899.471788,2025/05/28 - 12:38:19,49.38582983333333,1.0686286666666667
1748435900.4721022,2025/05/28 - 12:38:20,49.38582866666667,1.068614
1748435901.4128726,2025/05/28 - 12:38:21,49.385826333333334,1.0685986666666667
1748435902.4612238,2025/05/28 - 12:38:22,49.385827166666665,1.0685846666666667
1748435903.403318,2025/05/28 - 12:38:23,49.38583,1.0685728333333333
1748435904.402124,2025/05/28 - 12:38:24,49.385834,1.068558
1748435905.450402,2025/05/28 - 12:38:25,49.38583666666667,1.0685388333333332
1748435906.4427478,2025/05/28 - 12:38:26,49.38584016666667,1.0685258333333334
1748435907.442557,2025/05/28 - 12:38:27,49.38584316666667,1.0685145
1748435908.3780947,2025/05/28 - 12:38:28,49.38584566666667,1.0685003333333334
