Timestamp,UTC,Latitude_GPS,Longitude_GPS,Latitude_Tel,Longitude_Tel,distance,Latitude_corrigée,Longitude_corrigée,time_diff,lat_diff,lon_diff,distance_diff,vitesse,acceleration,aberrant_vitesse,aberrant_acceleration,aberrant,limite_basse_vitesse,limite_haute_vitesse,limite_basse_acceleration,limite_haute_acceleration
1742916222.388235,2025-03-25 15:23:42,49.38417566666666,1.067608,49.38369333,1.06803667,62.019688679320566,49.38393449833333,1.0678223349999998,,,,,,,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916223.1446035,2025-03-25 15:23:43,49.38418,1.0676138333333334,49.38369333,1.06803667,62.22695957151011,49.383936665,1.0678252516666666,1.0,4.3333333437090005e-06,5.833333333482571e-06,0.6416041334915136,0.6416041334915136,,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916224.1143694,2025-03-25 15:23:44,49.38418116666666,1.067617,49.38369333,1.06803667,62.2269422145067,49.383937248333325,1.067826835,1.0,1.1666666566156891e-06,3.1666666666652077e-06,0.26400884077767967,0.26400884077767967,-0.3775952927138339,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916225.1380005,2025-03-25 15:23:45,49.384182333333335,1.067622,49.38369333,1.06803667,62.163463502480376,49.38393783166667,1.0678293349999999,1.0,1.1666666779319712e-06,5.000000000032756e-06,0.3855277659319257,0.3855277659319257,0.12151892515424606,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916226.161274,2025-03-25 15:23:46,49.38418283333333,1.0676241666666666,49.38369333,1.06803667,62.136137429786174,49.38393808166666,1.0678304183333331,1.0,4.99999991632194e-07,2.1666666665254297e-06,0.1668550920331057,0.1668550920331057,-0.21867267389882003,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916227.1524167,2025-03-25 15:23:47,49.38418516666667,1.0676316666666668,49.38369333,1.06803667,62.10393785902081,49.383939248333334,1.0678341683333334,1.0,2.3333333416530877e-06,7.500000000160156e-06,0.603228063402508,0.603228063402508,0.43637297136940234,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916228.1371453,2025-03-25 15:23:48,49.38419016666666,1.0676438333333331,49.38369333,1.06803667,62.18416496104619,49.38394174833333,1.0678402516666665,1.0,4.999999994481641e-06,1.2166666666368897e-05,1.0438431018619634,1.0438431018619634,0.4406150384594554,True,False,True,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916229.1819634,2025-03-25 15:23:49,49.3841945,1.0676541666666666,49.38369333,1.06803667,62.27460228225796,49.383943915,1.0678454183333332,1.0,4.333333336603573e-06,1.0333333333445438e-05,0.8917292999320998,0.8917292999320998,-0.15211380192986357,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916230.1708176,2025-03-25 15:23:50,49.3841935,1.0676571666666663,49.38369333,1.06803667,62.078085087349336,49.383943415000005,1.0678469183333332,1.0,-9.999999974752427e-07,2.9999999997532e-06,0.24457247569978113,0.24457247569978113,-0.6471568242323187,False,True,True,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916231.1568203,2025-03-25 15:23:51,49.3841925,1.0676616666666667,49.38369333,1.06803667,61.83387468934892,49.383942915,1.0678491683333333,1.0,-1.00000000458067e-06,4.500000000406956e-06,0.3451430809044141,0.3451430809044141,0.10057060520463296,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916232.1478207,2025-03-25 15:23:52,49.38419133333333,1.0676653333333332,49.38369333,1.06803667,61.60041512432325,49.38394233166666,1.0678510016666665,1.0,-1.1666666708265439e-06,3.666666666513052e-06,0.29616333092884134,0.29616333092884134,-0.04897974997557275,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916233.192256,2025-03-25 15:23:53,49.38419533333333,1.0676678333333334,49.38369333,1.06803667,61.92199278335301,49.38394433166667,1.0678522516666666,1.0,4.0000000041118255e-06,2.5000000001274003e-06,0.48047588483430465,0.48047588483430465,0.1843125539054633,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916234.186337,2025-03-25 15:23:54,49.38420083333333,1.0676698333333334,49.38369333,1.06803667,62.41197018678208,49.38394708166666,1.0678532516666666,1.0,5.50000000032469e-06,2.0000000000575113e-06,0.6286950094955668,0.6286950094955668,0.14821912466126214,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916235.169896,2025-03-25 15:23:55,49.384203166666666,1.0676721666666666,49.38369333,1.06803667,62.57491353976399,49.38394824833333,1.0678544183333334,1.0,2.3333333345476603e-06,2.3333333332153927e-06,0.30991273762060206,0.30991273762060206,-0.3187822718749647,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
1742916236.157182,2025-03-25 15:23:56,49.38420283333333,1.067677166666667,49.38369333,1.06803667,62.38856149222901,49.38394808166667,1.0678569183333333,1.0,-3.3333333249174757e-07,5.000000000254801e-06,0.3649246088996055,0.3649246088996055,0.05501187127900342,False,False,False,-0.21053594200120757,0.8951000375272944,-0.44917842871949387,0.4607402597693285
