Timestamp,UTC,Latitude_GPS,Longitude_GPS,Latitude_Tel,Longitude_Tel,Latitude_Kalman,Longitude_Kalman,distance_brute,point_aberrant
1741798922.7964897,2025-03-12 17:02:02+00:00,49.38460066666666,1.0685733333333334,49.38465333,1.06845167,49.3846020403959,1.068573008921203,0.1545873372919507,False
1741798923.8466733,2025-03-12 17:02:03+00:00,49.38460116666666,1.0685725,49.38466,1.06845667,49.38460386960002,1.068572574107082,0.3006607830155256,False
1741798924.8968108,2025-03-12 17:02:04+00:00,49.38460966666667,1.0685725,49.38466833,1.06846833,49.38460930128628,1.0685722380632252,0.04486680140621468,False
1741798925.946896,2025-03-12 17:02:05+00:00,49.38461633333333,1.068571,49.384675,1.06848,49.38461424599186,1.0685715529088178,0.2355937542735509,False
1741798926.999147,2025-03-12 17:02:06+00:00,49.38461683333333,1.0685711666666666,49.38467833,1.06848667,49.38461640867904,1.0685716046738514,0.05693811318843597,False
1741798928.1076822,2025-03-12 17:02:07+00:00,49.384617166666665,1.068571333333333,49.384685,1.06848667,49.38461800538498,1.068572240216896,0.11417886046678452,False
1741798929.211918,2025-03-12 17:02:08+00:00,49.38461733333333,1.068571333333333,49.384695,1.06849167,49.384620719938596,1.0685740844585683,0.42633832990409226,False
1741798930.320933,2025-03-12 17:02:09+00:00,49.38462333333333,1.068579333333333,49.3847,1.06848833,49.38462794817545,1.0685795954127406,0.513602363421989,False
1741798931.428311,2025-03-12 17:02:11+00:00,49.38464433333333,1.0685891666666667,49.38472833,1.06850833,49.38464132709532,1.0685854556675671,0.4294024955688404,False
1741798932.5322888,2025-03-12 17:02:12+00:00,49.384652333333335,1.0685881666666666,49.38474167,1.06851667,49.38465069928723,1.068586369885546,0.22371100684374914,False
1741798933.6364243,2025-03-12 17:02:13+00:00,49.3846575,1.0685838333333333,49.38475833,1.06853167,49.38465789361488,1.0685848893452963,0.08829059153685646,False
1741798934.746207,2025-03-12 17:02:14+00:00,49.38466416666667,1.0685831666666668,49.38477333,1.06854,49.38466561255428,1.0685848162626987,0.2005101326247383,False
1741798935.8550751,2025-03-12 17:02:15+00:00,49.3846745,1.0685878333333334,49.38478333,1.068545,49.38467525857942,1.068586941769359,0.10634012776913032,False
1741798936.9578626,2025-03-12 17:02:16+00:00,49.38468566666667,1.068590666666667,49.38479333,1.06855167,49.38468591564275,1.0685878789954109,0.20428873839533934,False
1741798938.06763,2025-03-12 17:02:17+00:00,49.38469633333333,1.0685873333333331,49.38480167,1.06856833,49.38469690454255,1.0685851008002571,0.17410101549384954,False
1741798939.1768858,2025-03-12 17:02:18+00:00,49.384708,1.0685795,49.38480667,1.06858667,49.38470865475266,1.068579347074645,0.07366139234831476,False
1741798940.28637,2025-03-12 17:02:19+00:00,49.38471933333333,1.068574,49.384815,1.06859167,49.384721277620145,1.0685733895294092,0.22073411917391877,False
1741798941.395672,2025-03-12 17:02:21+00:00,49.384739833333335,1.0685628333333332,49.38484,1.06859833,49.38473649184213,1.0685666183461335,0.46220557629816295,False
1741798942.5042355,2025-03-12 17:02:22+00:00,49.3847475,1.0685636666666667,49.38485333,1.06859167,49.38474725250912,1.068564891845507,0.09311715922653559,False
1741798943.6098306,2025-03-12 17:02:23+00:00,49.38475733333333,1.0685653333333334,49.38485833,1.06859167,49.3847576833191,1.0685647982689324,0.05499426062154052,False
1741798944.6816912,2025-03-12 17:02:24+00:00,49.3847685,1.0685636666666667,49.38486667,1.068595,49.38476858059175,1.0685639915560372,0.02523456661429543,False
1741798945.7317102,2025-03-12 17:02:25+00:00,49.3847805,1.0685615,49.38487833,1.06859,49.38477958527744,1.068563617857205,0.184376889761459,False
1741798946.781629,2025-03-12 17:02:26+00:00,49.384789,1.0685638333333334,49.384885,1.06859167,49.38478937081668,1.0685660668482984,0.16732954052906354,False
1741798947.8316648,2025-03-12 17:02:27+00:00,49.3847975,1.0685716666666667,49.38489167,1.06860833,49.384799650582096,1.0685714926785168,0.23951506250534083,False
1741798948.8839405,2025-03-12 17:02:28+00:00,49.384813,1.0685778333333331,49.3849,1.0686,49.38481279665333,1.0685766866165216,0.08627590048991421,False
1741798949.9896643,2025-03-12 17:02:29+00:00,49.38482616666666,1.0685811666666667,49.38491167,1.06860667,49.384825671703176,1.0685803522050306,0.08079168241685805,False
1741798951.093949,2025-03-12 17:02:30+00:00,49.38483683333333,1.068584166666667,49.38492333,1.06860667,49.384837887063384,1.068582932275286,0.14753563055975194,False
1741798952.2025049,2025-03-12 17:02:31+00:00,49.3848495,1.068584,49.38493167,1.06864,49.38485150683991,1.0685838671429728,0.2234034429317226,False
1741798953.311902,2025-03-12 17:02:32+00:00,49.3848645,1.068584166666667,49.38494333,1.06865333,49.384867801342,1.0685846249381972,0.36867054771363794,False
1741798954.4181468,2025-03-12 17:02:34+00:00,49.38489216666667,1.068586,49.38495833,1.06866833,49.38488849588804,1.068585993519848,0.4082539488486051,False
1741798955.527182,2025-03-12 17:02:35+00:00,49.3849055,1.0685876666666667,49.38496167,1.06867,49.38490429800328,1.068587353464721,0.13560306266850938,False
1741798956.6368203,2025-03-12 17:02:36+00:00,49.38491966666667,1.068588833333333,49.384965,1.06866667,49.384918498091686,1.0685882959725845,0.1356955904752592,False
1741798957.7453532,2025-03-12 17:02:37+00:00,49.38493116666667,1.0685876666666667,49.38497167,1.06866167,49.38493114069792,1.0685885222835443,0.062190239521288285,False
1741798958.8512511,2025-03-12 17:02:38+00:00,49.38494433333333,1.0685891666666667,49.384975,1.06865167,49.38494374869289,1.0685898889646548,0.08353545933436346,False
