Timestamp,UTC,Latitude_1,Longitude_1,Latitude_2,Longitude_2,distance
1741798922.7964897,2025-03-12 17:02:02+00:00,49.38460066666666,1.0685733333333334,49.38465333,1.06845167,10.598927576533741
1741798923.8466733,2025-03-12 17:02:03+00:00,49.38460116666666,1.0685725,49.38466,1.06845667,10.655663005414292
1741798924.8968108,2025-03-12 17:02:04+00:00,49.38460966666667,1.0685725,49.38466833,1.06846833,9.988644384195315
1741798925.946896,2025-03-12 17:02:05+00:00,49.38461633333333,1.068571,49.384675,1.06848,9.285873337006521
1741798926.999147,2025-03-12 17:02:06+00:00,49.38461683333333,1.0685711666666666,49.38467833,1.06848667,9.187875942416188
1741798928.1076822,2025-03-12 17:02:07+00:00,49.384617166666665,1.068571333333333,49.384685,1.06848667,9.73152391802441
1741798929.211918,2025-03-12 17:02:08+00:00,49.38461733333333,1.068571333333333,49.384695,1.06849167,10.395597370516816
1741798930.320933,2025-03-12 17:02:09+00:00,49.38462333333333,1.068579333333333,49.3847,1.06848833,10.787128252454247
1741798931.428311,2025-03-12 17:02:11+00:00,49.38464433333333,1.0685891666666667,49.38472833,1.06850833,11.032633339077075
1741798932.5322888,2025-03-12 17:02:12+00:00,49.384652333333335,1.0685881666666666,49.38474167,1.06851667,11.210147488766728
1741798933.6364243,2025-03-12 17:02:13+00:00,49.3846575,1.0685838333333333,49.38475833,1.06853167,11.836336039892645
1741798934.746207,2025-03-12 17:02:14+00:00,49.38466416666667,1.0685831666666668,49.38477333,1.06854,12.538862368282258
1741798935.8550751,2025-03-12 17:02:15+00:00,49.3846745,1.0685878333333334,49.38478333,1.068545,12.496925141517183
1741798936.9578626,2025-03-12 17:02:16+00:00,49.38468566666667,1.068590666666667,49.38479333,1.06855167,12.30422222228235
1741798938.06763,2025-03-12 17:02:17+00:00,49.38469633333333,1.0685873333333331,49.38480167,1.06856833,11.796218909206008
1741798939.1768858,2025-03-12 17:02:18+00:00,49.384708,1.0685795,49.38480667,1.06858667,10.986140938118462
1741798940.28637,2025-03-12 17:02:19+00:00,49.38471933333333,1.068574,49.384815,1.06859167,10.716848530688592
1741798941.395672,2025-03-12 17:02:21+00:00,49.384739833333335,1.0685628333333332,49.38484,1.06859833,11.434495548423342
1741798942.5042355,2025-03-12 17:02:22+00:00,49.3847475,1.0685636666666667,49.38485333,1.06859167,11.944437940769872
1741798943.6098306,2025-03-12 17:02:23+00:00,49.38475733333333,1.0685653333333334,49.38485833,1.06859167,11.39416835355275
1741798944.6816912,2025-03-12 17:02:24+00:00,49.3847685,1.0685636666666667,49.38486667,1.068595,11.152691633018716
1741798945.7317102,2025-03-12 17:02:25+00:00,49.3847805,1.0685615,49.38487833,1.06859,11.075402615284037
1741798946.781629,2025-03-12 17:02:26+00:00,49.384789,1.0685638333333334,49.384885,1.06859167,10.866464536269941
1741798947.8316648,2025-03-12 17:02:27+00:00,49.3847975,1.0685716666666667,49.38489167,1.06860833,10.806326237504258
1741798948.8839405,2025-03-12 17:02:28+00:00,49.384813,1.0685778333333331,49.3849,1.0686,9.808835355517347
1741798949.9896643,2025-03-12 17:02:29+00:00,49.38482616666666,1.0685811666666667,49.38491167,1.06860667,9.688047373823174
1741798951.093949,2025-03-12 17:02:30+00:00,49.38483683333333,1.068584166666667,49.38492333,1.06860667,9.75768226776391
1741798952.2025049,2025-03-12 17:02:31+00:00,49.3848495,1.068584,49.38493167,1.06864,10.002405529927172
1741798953.311902,2025-03-12 17:02:32+00:00,49.3848645,1.068584166666667,49.38494333,1.06865333,10.103568445176398
1741798954.4181468,2025-03-12 17:02:34+00:00,49.38489216666667,1.068586,49.38495833,1.06866833,9.480511900058978
1741798955.527182,2025-03-12 17:02:35+00:00,49.3849055,1.0685876666666667,49.38496167,1.06867,8.646464209960817
1741798956.6368203,2025-03-12 17:02:36+00:00,49.38491966666667,1.068588833333333,49.384965,1.06866667,7.573562272928606
1741798957.7453532,2025-03-12 17:02:37+00:00,49.38493116666667,1.0685876666666667,49.38497167,1.06866167,7.0115802524124975
1741798958.8512511,2025-03-12 17:02:38+00:00,49.38494433333333,1.0685891666666667,49.384975,1.06865167,5.676903453404473
1741798959.9603086,2025-03-12 17:02:39+00:00,49.3849565,1.0685926666666667,49.38498167,1.06865,5.016454849763982
1741798961.0691438,2025-03-12 17:02:40+00:00,49.3849665,1.0685941666666667,49.38499,1.06865,4.823337920528265
1741798962.1743586,2025-03-12 17:02:41+00:00,49.38497566666667,1.068596,49.38499667,1.06864,3.9575882104100972
1741798963.2840586,2025-03-12 17:02:42+00:00,49.384985666666665,1.0685965,49.38500333,1.06862833,3.033166544752537
1741798964.3933964,2025-03-12 17:02:43+00:00,49.38499766666666,1.0685971666666667,49.38501333,1.068615,2.17053154815144
1741798965.5007806,2025-03-12 17:02:45+00:00,49.3850205,1.0685963333333333,49.385035,1.06860167,1.6585458248797378
1741798966.6096382,2025-03-12 17:02:46+00:00,49.38503433333333,1.0685913333333332,49.38504667,1.06858833,1.3892695542202471
1741798967.718603,2025-03-12 17:02:47+00:00,49.385047166666666,1.0685875,49.38506,1.06857333,1.7594420339520025
1741798968.826836,2025-03-12 17:02:48+00:00,49.38505883333333,1.0685785,49.38508,1.06854333,3.47309894639546
1741798969.9324915,2025-03-12 17:02:49+00:00,49.385074,1.0685718333333334,49.38509333,1.06852667,3.921027691245837
1741798971.0428824,2025-03-12 17:02:50+00:00,49.385089666666666,1.0685636666666667,49.38510833,1.06851167,4.30826290244642
